Date,Poll,Total voter,Yes(percent),No(percent),No comment(percent)
2 July 2023,ব্যয় সংকোচনে সরকারি দপ্তরে নতুন সব ধরনের যানবাহন কেনাকাটা বন্ধ করেছে সরকার। আপনি কি তা সমর্থন করেন?,0,95,4,1
1 July 2023,কাঁচা মরিচের দাম নিয়ন্ত্রণে সরকার কার্যকর পদক্ষেপ গ্রহণ করবে বলে মনে করেন কি?,0,14,84,2
27 June 2023,দেশে কর্মস্থলে নির্মাণশ্রমিকদের মৃত্যু ঠেকাতে বিশেষ উদ্যোগ নেওয়া হবে বলে মনে করেন কি?,0,6,93,1
26 June 2023,ঢাকায় ডেঙ্গুর জীবাণুবাহী এডিস মশা নিয়ন্ত্রণে এখনই বিশেষ পদক্ষেপ নেওয়া উচিত বলে আপনি মনে করেন কি?,0,96,3,1
25 June 2023,অস্বাভাবিক মূল্যবৃদ্ধির প্রেক্ষাপটে সরকার ভারত থেকে কাঁচা মরিচ আমদানির অনুমতি দিয়েছে। এতে মরিচের দাম কমবে বলে কি আপনি মনে করেন?,0,82,16,2
24 June 2023,দেশে অবৈধ মুঠোফোন বন্ধে কার্যকর উদ্যোগ নেওয়া হবে বলে মনে করেন কি?,0,6,92,2
23 June 2023,টিসিবির পণ্য বিক্রিতে অসংগতি দূর করতে এক কোটি উপকারভোগীকে স্মার্ট কার্ড দিচ্ছে সরকার। এতে সুফল পাওয়া যাবে বলে আপনি মনে করেন কি?,0,16,82,2
22 June 2023,ঢাকায় অবকাঠামো তৈরিতে বিনিয়োগ করা হলেও এই শহরকে বাসযোগ্য করায় গুরুত্ব দেওয়া হয়নি—নগর পরিকল্পনাবিদ আদিল মুহাম্মদ খানের এই বক্তব্যের সঙ্গে আপনি কি একমত?,0,98,2,0
21 June 2023,দুর্ঘটনার জন্য মোটরসাইকেল বন্ধ না করে এ বিষয়ে নজরদারি বাড়ানোর দাবি জানিয়েছেন সংশ্লিষ্ট ব্যক্তিরা। আপনি কি তাঁদের সঙ্গে একমত?,0,87,12,1
20 June 2023,আগামী জুন মাসের মধ্যে ঋণের কিস্তির অর্ধেক টাকা জমা দিলেই একজন গ্রাহককে খেলাপি হিসেবে চিহ্নিত করা যাবে না—বাংলাদেশ ব্যাংকের এই সিদ্ধান্ত যৌক্তিক বলে কি আপনি মনে করেন?,0,11,88,1
19 June 2023,ঢাকা উত্তর সিটি করপোরেশনের ৮টি কোরবানির পশুর হাটে ডিজিটাল পদ্ধতিতে লেনদেনের ব্যবস্থা করা হয়েছে। অন্যান্য জায়গায়ও এটা করা উচিত বলে কি আপনি মনে করেন?,0,90,8,2
18 June 2023,"ইবাদত, তাসকিনদের হাত ধরে বাংলাদেশের পেস বোলিংয়ের দুর্বলতা কাটছে বলে কি আপনি মনে করেন?",0,85,12,3
17 June 2023,ডেঙ্গু জ্বরের জন্য দায়ী এডিস মশা নিধনে ঢাকার দুই সিটি করপোরেশনের উদ্যোগ যথেষ্ট বলে মনে করেন কি?,0,2,97,1
16 June 2023,দেশে সব কিছু মিলিয়ে একটি ভয়ের সংস্কৃতি তৈরি হয়েছে —অধ্যাপক সিরাজুল ইসলাম চৌধুরীর এই বক্তব্যের সঙ্গে আপনি কি একমত?,0,95,4,1
15 June 2023,দেশে এখন ডিজিটাল ব্যাংক করার প্রয়োজন আছে বলে আপনি মনে করেন কি?,0,54,44,2
14 June 2023,বাজার ব্যবস্থাপনার ক্ষেত্রে চরম দুর্বলতার কারণে জিনিসপত্রের দাম একেবারেই লাগামছাড়া—বাংলাদেশের ওয়ার্কার্স পার্টির সভাপতি রাশেদ খান মেননের এই বক্তব্যের সঙ্গে আপনি কি একমত?,0,97,2,1
13 June 2023,পবিত্র ঈদুল আজহার ছুটি এক দিন বাড়িয়ে চার দিন করার সুপারিশ করেছে আইন–শৃঙ্খলাবিষয়ক মন্ত্রিসভা কমিটি। আপনি কি তা সমর্থন করেন?,0,85,14,1
12 June 2023,বেসিক ব্যাংকে ঋণ অনিয়মের প্রায় এক দশক পর ব্যাংকটির সাবেক চেয়ারম্যান শেখ আবদুল হাই বাচ্চুসহ ১৪৭ জনকে আসামি করে অভিযোগপত্র অনুমোদন দিয়েছে দুদক। এ ঘটনায় দায়ী ব্যক্তিদের শাস্তি হবে বলে আপনি মনে করেন কি?,0,5,94,1
11 June 2023,"নির্বাচন কমিশনার মো. আহসান হাবিব খান বলেছেন, বরিশাল ও খুলনা সিটি করপোরেশনের নির্বাচন গাজীপুরের নির্বাচনের চেয়ে ভালো হবে। আপনি কি তা মনে করেন?",0,11,87,2
10 June 2023,সিলেট সিটি করপোরেশন নির্বাচনকে কেন্দ্র করে অস্ত্রের মহড়া দেওয়া ব্যক্তিদের শাস্তি নিশ্চিত করা সম্ভব হবে বলে মনে করেন কি?,0,5,94,1
9 June 2023,সড়ক দুর্ঘটনার প্রায় অর্ধেক মামলায় চালক শনাক্ত না হওয়ার জন্য তদন্তে ঘাটতির কথা বলেছেন পুলিশের সাবেক অতিরিক্ত মহাপরিদর্শক মোখলেসুর রহমান। আপনি কি তা মনে করেন?,0,91,8,1
8 June 2023,"জাতীয় নির্বাচন সামনে রেখে সরকারের কোনো সংস্থা যেন কারও বিরুদ্ধে হয়রানিমূলক মামলা না করে, তা নিশ্চিতে সরকারকে প্রস্তাব দেবে নির্বাচন কমিশন। আপনি কি তা সমর্থন করেন?",0,92,5,3
7 June 2023,গরমের কারণে স্কুল ছুটির বিষয়ে তিন দফায় সিদ্ধান্ত দেওয়া হয়েছে—এখানে সমন্বয়হীনতা রয়েছে বলে আপনি কি মনে করেন?,0,96,3,1
6 June 2023,সবাইকে ধৈর্য ধরার আহ্বান জানিয়ে সপ্তাহ দুয়েকের মধ্যে বিদ্যুৎ পরিস্থিতি স্বাভাবিক করার আশ্বাস দিয়েছেন প্রতিমন্ত্রী নসরুল হামিদ। এ সময়ে বিদ্যুৎ–সংকট কাটবে বলে আপনি কি মনে করেন?,0,12,83,5
5 June 2023,নতুন আইনে বিদেশে ঘুরতে গেলেই এনবিআরে সম্পদের বিবরণী জমা দেওয়া বাধ্যতামূলক করা হচ্ছে—আপনি কি তা সমর্থন করেন?,0,12,69,19
4 June 2023,"গরমে শিশুরা অসুস্থ হয়ে যেতে পারে, তাই সব স্কুল কিছুদিন বন্ধ রাখলে ভালো হয়—শিশুরোগবিশেষজ্ঞ মোহাম্মদ সহিদুল্লার এ বক্তব্যের সঙ্গে আপনি কি একমত?",0,97,3,0
3 June 2023,বাজেটে কলমের দাম বাড়ানোর প্রস্তাব পুনর্বিবেচনা করা হবে বলে আশা করছেন শিক্ষামন্ত্রী দীপু মনি। আপনি কি তা মনে করেন?,0,19,79,2
2 June 2023,ব্যক্তিশ্রেণির করদাতাদের করমুক্ত আয়সীমা সাড়ে তিন লাখ টাকা করা যৌক্তিক বলে মনে করেন কি?,0,85,13,2
1 June 2023,বাজেটে দেশে উৎপাদিত মুঠোফোনের ওপর মূল্য সংযোজন কর (ভ্যাট) বাড়ানোর প্রস্তাব করা হয়েছে—আপনি কি তা সমর্থন করেন?,0,13,86,1
31 May 2023,"প্রশাসনে তেজ বেড়েছে, তবে গভীরতা কমেছে—পরিকল্পনামন্ত্রী এম এ মান্নানের এই বক্তব্যের সঙ্গে আপনি কি একমত?",0,93,4,3
30 May 2023,"পবিত্র ঈদুল আজহায় ট্রেনের অগ্রিম টিকিট শতভাগ অনলাইনে বিক্রি করার সিদ্ধান্ত নিয়েছে রেল কর্তৃপক্ষ, আপনি কি তা সমর্থন করেন?",0,83,16,1
29 May 2023,নতুন সরকারি বিশ্ববিদ্যালয় স্থাপনে আইন পাসের পরপরই ভাড়া করা বাড়ি বা যেখানে-সেখানে শিক্ষা কার্যক্রম চালুর সুযোগ বন্ধের উদ্যোগ নিয়েছে ইউজিসি—আপনি কি তা সমর্থন করেন?,0,95,4,1
28 May 2023,সুশাসনের অভাবে বেসরকারি ব্যাংকে খেলাপি ঋণ বাড়ছে—অ্যাসোসিয়েশন অব ব্যাংকার্স বাংলাদেশের সাবেক চেয়ারম্যান আনিস এ খানের এ বক্তব্যের সঙ্গে আপনি একমত?,0,97,2,1
27 May 2023,জাতীয় পরিচয়পত্র থাকলেই আয়কর রিটার্ন দাখিলের পক্ষে পররাষ্ট্রমন্ত্রী এ কে আব্দুল মোমেন—তাঁর এই অবস্থানের সঙ্গে আপনি কি একমত?,0,6,93,1
26 May 2023,"ভোটকেন্দ্র কোথায় কোথায় হবে, তা নির্ধারণে নির্বাচন কমিশনের সঙ্গে প্রশাসন ও পুলিশ কর্মকর্তাদের যুক্ত করার উদ্যোগ নেওয়া হয়েছে। আপনি কি তা সমর্থন করেন?",0,12,86,2
25 May 2023,"পেঁয়াজের মূল্যবৃদ্ধির পেছনে ‘সিন্ডিকেট’ আছে কি না, তা খতিয়ে দেখার কথা বলেছেন পরিকল্পনামন্ত্রী এম এ মান্নান। আসলেই তা করা হবে বলে আপনি কি মনে করেন?",0,4,96,0
24 May 2023,কর দিতে হয় না বলে সম্পদশালীরা প্লট কিনছেন। তাতে ঢাকার পূর্বাচল হয়ে উঠছে কর ফাঁকির অভয়ারণ্য—পিআরআইয়ের নির্বাহী পরিচালক আহসান এইচ মনসুরের এই বক্তব্যের সঙ্গে আপনি কি একমত?,0,97,2,1
23 May 2023,করযোগ্য আয় না থাকলেও ন্যূনতম কর দেওয়া বাধ্যতামূলক করা সংগত হবে বলে আপনি কি মনে করেন?,0,6,93,1
22 May 2023,শহরের শিক্ষক-অভিভাবকেরা ভালো ফলের জন্য চাপ দিয়ে শিক্ষার্থীদের জীবন বিপন্ন করে দিচ্ছেন—শিক্ষা উপমন্ত্রী মহিবুল হাসান চৌধুরীর এ বক্তব্যের সঙ্গে আপনি কি একমত?,0,92,7,1
21 May 2023,"ভোট হবে কিন্তু ভোটার কেন্দ্রে যাবেন না, এটা যেন রীতি হয়ে গেছে—স্থানীয় সরকার বিশেষজ্ঞ তোফায়েল আহমেদের এই বক্তব্যের সঙ্গে আপনি কি একমত?",0,95,4,1
20 May 2023,দেশে বজ্রপাতে প্রাণহানি কমাতে দ্রুত কার্যকর পদক্ষেপ গ্রহণের উদ্যোগ নেওয়া হবে বলে মনে করেন কি?,0,5,94,1
19 May 2023,"ওয়ানডে বিশ্বকাপের এখনো চার মাস বাকি। তাই দলে কে থাকবে না থাকবে, তা নিয়ে এখনই আলোচনার পক্ষে নন প্রধান নির্বাচক মিনহাজুল আবেদীন। আপনি কি তাঁর সঙ্গে একমত?",0,26,71,3
18 May 2023,"নির্বাচনে আইনের পরিপন্থী কাজ করলে, তিনি যে ব্যক্তিই হোন, তাঁকে আইনের আওতায় আনতে যথাযথ পদক্ষেপ নেওয়া হবে—ইসি সচিব মো. জাহাংগীর আলমের এই কথায় আপনি কি আস্থা রাখেন?",0,4,95,1
17 May 2023,দুই চুলায় মাসিক গ্যাসের বিল ৫১২ টাকা এবং এক চুলায় ৩৯০ টাকা বাড়াতে নিয়ন্ত্রক সংস্থা বিইআরসিতে প্রস্তাব দিয়েছে তিতাস গ্যাস। আপনি কি তা সমর্থন করেন?,0,9,90,1
16 May 2023,"বাণিজ্যমন্ত্রী বলেছেন, কিছু অসৎ ব্যবসায়ী বেশি দরে তেল-চিনি বিক্রি করছেন—এই ব্যবসায়ীদের বিরুদ্ধে শাস্তিমূলক ব্যবস্থা নেওয়া হবে বলে মনে করেন কি?",0,4,95,1
15 May 2023,"সব জায়গায় কৃচ্ছ্রসাধন দরকার উল্লেখ করে পরিকল্পনামন্ত্রী এম এ মান্নান বলেছেন, বড় কর্মকর্তার (অফিসার) বড় গাড়ি, বড় বাড়ি—এসব জায়গায় বদল আনতে হবে। এই পরিবর্তন হবে বলে আপনি কি মনে করেন?",0,6,93,1
14 May 2023,"নিত্যপণ্যের দাম বাড়ার ক্ষেত্রে কিছু ব্যবসায়ীও সুযোগ নিচ্ছেন, তাঁদের সামাল দিতে আমরা সর্বাত্মক চেষ্টা করছি— বাণিজ্যমন্ত্রী টিপু মুনশির এই কথায় আপনি কি সন্তুষ্ট?",0,3,97,0
13 May 2023,"বিএনপিকে নির্বাচনে আসার আহ্বান জানিয়ে আওয়ামী লীগের সাধারণ সম্পাদক ওবায়দুল কাদের বলেছেন, ‘সেইফ এক্সিট’ কারা নেবে, জনগণই তা নির্ধারণ করবে। আপনি কি তাঁর এই বক্তব্যের সঙ্গে একমত?",0,9,89,2
12 May 2023,হবিগঞ্জের সাতছড়ি জাতীয় উদ্যানে আইন ভেঙে পাকা স্থাপনা নির্মাণে জড়িতদের যথাযথ শাস্তি নিশ্চিত করা সম্ভব হবে বলে মনে করেন কি?,0,4,95,1
11 May 2023,বাজারে তদারকি বাড়ালে সরকার নির্ধারিত দামে চিনি বিক্রি হবে বলে আপনি কি মনে করেন?,0,13,86,1
10 May 2023,রাজধানীর কল্যাণপুর জলাধারের বেদখলে থাকা জায়গা যেকোনো মূল্যে উদ্ধার করা হবে—মেয়র আতিকুল ইসলামের এ বক্তব্যে আপনার আস্থা আছে কি?,0,48,50,2
9 May 2023,বিভিন্ন স্থানে প্রশাসনের বেঁধে দেওয়া সময় অনুযায়ী গাছ থেকে আম পাড়া নিশ্চিত করা সম্ভব হবে বলে মনে করেন কি?,0,7,92,1
8 May 2023,গভীর রাতে ধানমন্ডির সাতমসজিদ সড়কে গাছ কেটে ফেলা নাগরিকদের কাছে জবাবদিহি না থাকার ফল—গাছ রক্ষার দাবিতে আন্দোলনরত ব্যক্তিদের এ অভিযোগের সঙ্গে আপনি কি একমত?,0,96,3,1
7 May 2023,"পাচার করা টাকা কেউ ফেরত আনেনি, তাই আইনের প্রয়োগ বাড়িয়ে বিদেশে টাকা পাচার রোধ করা উচিত—সিপিডির বিশেষ ফেলো মোস্তাফিজুর রহমানের এই পরামর্শ অনুযায়ী কাজ হবে বলে আপনি কি মনে করেন?",0,8,91,1
6 May 2023,পাঁচ সিটি করপোরেশনের নির্বাচনের পরিবেশ নিজেদের নিয়ন্ত্রণে রাখতে এবার আগেভাগেই তৎপরতা শুরু করেছে নির্বাচন কমিশন (ইসি)। তাদের এ তৎপরতা শেষ পর্যন্ত কার্যকর হবে বলে আপনি কি মনে করেন?,0,6,93,1
5 May 2023,"বাংলাদেশে ভূমিকম্পের ঝুঁকি মোকাবিলার বেশির ভাগ সিদ্ধান্ত ও উদ্যোগ কাগজে-কলমে সীমাবদ্ধ রয়েছে, বাস্তবে গুরুত্ব পাচ্ছে কম—ভূতত্ত্বের অধ্যাপক সৈয়দ হুমায়ুন আখতারের এই বক্তব্যের সঙ্গে আপনি কি একমত?",0,99,1,0
4 May 2023,যেকোনো দেশের দুর্নীতিবাজ ব্যক্তিদের কালো তালিকাভুক্ত করে ইউরোপীয় ইউনিয়নে নিষিদ্ধ করা হচ্ছে। এতে দেশে দেশে দুর্নীতি কমবে বলে আপনি কি মনে করেন?,0,29,69,2
3 May 2023,"সড়কে আইন ভাঙলে কিছু হবে না, এটা জানে বলেই দেশে মানুষ আইন মানে না—নিরাপদ সড়ক চাইয়ের চেয়ারম্যান ইলিয়াস কাঞ্চনের এই বক্তব্যের সঙ্গে আপনি কি একমত?",0,98,2,0
2 May 2023,"মতপ্রকাশের স্বাধীনতা নিশ্চিত করার আহ্বান জানিয়ে অধ্যাপক গীতি আরা নাসরীন বলেছেন, দেশে সাংবাদিকতা এখন এতটা খারাপ অবস্থায় আছে, যা আগে কখনো দেখা যায়নি। আপনি কি তা মনে করেন?",0,92,7,1
30 April 2023,ভোজ্যতেলের দাম না বাড়িয়ে ব্যবসায়ীদের জন্য ভ্যাট ছাড় অব্যাহত রাখা যৌক্তিক হবে বলে আপনি কি মনে করেন?,0,86,12,2
29 April 2023,বিএনপি কোনো কৌশলেই সিটি করপোরেশন নির্বাচনে অংশ নিচ্ছে না বলে জানিয়ে দিয়েছেন দলটির মহাসচিব মির্জা ফখরুল ইসলাম আলমগীর। বিএনপি এ অবস্থান ধরে রাখতে পারবে বলে মনে করেন কি?,0,83,15,2
28 April 2023,"এ দেশে যাঁরা ভিন্নভাবে ভাবেন, ক্ষমতার বাইরে গিয়ে ভাবেন, তাঁদের সব সময় নানা চ্যালেঞ্জের মুখে থাকতে হয়—বেলার প্রধান নির্বাহী সৈয়দা রিজওয়ানা হাসানের এই বক্তব্যের সঙ্গে আপনি কি একমত?",0,97,2,1
27 April 2023,কক্সবাজারে আশ্রয় নেওয়া রোহিঙ্গাদের শুধু টেলিটকের নেটওয়ার্কের আওতায় আনলে তা অপরাধ নিয়ন্ত্রণে সহায়ক হবে বলে আপনি কি মনে করেন?,0,55,41,4
26 April 2023,বিদ্যুৎ–জ্বালানি খরচ কমাতে সব ব্যাংককে জরুরি ছাড়া সভা অনলাইনে করার নির্দেশ দিয়েছে কেন্দ্রীয় ব্যাংক। এ সিদ্ধান্ত ফলপ্রসূ হবে বলে আপনি কি মনে করেন?  ,0,54,44,2
25 April 2023,তিতাস গ্যাসের মেয়াদোত্তীর্ণ পাইপলাইন পাল্টে নতুন লাইন বসানো উচিত—বুয়েটের শিক্ষক মো. ইয়াসির আরাফাত খানের এই পরামর্শ অনুযায়ী কাজ করা হবে বলে আপনি কি আশাবাদী?,0,10,89,1
24 April 2023,"দুর্যোগ ব্যবস্থাপনা ও ত্রাণ প্রতিমন্ত্রী মো. এনামুর রহমান বলেছেন, ঝুঁকিপূর্ণ মার্কেট নিয়ে ফায়ার সার্ভিস ও সিভিল ডিফেন্স অধিদপ্তর জরিপ করে যে সুপারিশ দিয়েছে, তা বাস্তবায়ন করার জন্য সর্বোচ্চ আইন ও শক্তি প্রয়োগ করা হবে। এটা হবে বলে আপনি কি মনে করেন?",0,5,94,1
20 April 2023,পাঁচ সিটি নির্বাচন প্রতিদ্বন্দ্বিতামূলক ও গ্রহণযোগ্য করতে না পারলে নির্বাচন কমিশনের প্রতি আস্থার সংকট আরও বাড়বে—নির্বাচন পর্যবেক্ষক মুনিরা খানের এই বক্তব্যের সঙ্গে আপনি কি একমত?,0,93,5,2
19 April 2023,সমন্বিত ভর্তি পরীক্ষার (গুচ্ছ) আবেদন ফি ১৫০০ থেকে কমিয়ে ৫০০ টাকা করার প্রস্তাব করেছে জগন্নাথ বিশ্ববিদ্যালয় শিক্ষক সমিতি। তাদের এই প্রস্তাব মেনে নেওয়া উচিত বলে আপনি মনে করেন?,0,95,4,1
18 April 2023,"বঙ্গবাজার, নিউ সুপার মার্কেটে আগুনসহ প্রতিটি বড় অগ্নিকাণ্ডের কারণ খুঁজে বের করা এবং এসব ঘটনায় সংশ্লিষ্টদের গাফিলতি আছে কি না, তা খতিয়ে দেখতে উচ্চ ক্ষমতাসম্পন্ন তদন্ত কমিশন গঠনের দাবি জানিয়েছেন ২৮ জন বিশিষ্ট নাগরিক। আপনি কি তা সমর্থন করেন?",0,95,4,1
17 April 2023,"সাধারণ সম্পাদক ক্ষমতার অপব্যবহার করেছেন, তাঁর অফিস ভুল করেছে, এখানে সভাপতি হিসেবে তাঁর দায় নেওয়ার কিছু নেই।—এ কথা বলে বাফুফে সভাপতি কাজী সালাউদ্দিন দায় এড়াতে পারেন বলে আপনি মনে করেন কি?",0,2,97,1
16 April 2023,এবার ঈদযাত্রায় ফিটনেসবিহীন গাড়ির বিরুদ্ধে অভিযানসহ সড়কে শৃঙ্খলা নিশ্চিত করতে মাঠপর্যায়ের পুলিশ কর্মকর্তাদের নির্দেশ দিয়েছে পুলিশ সদর দপ্তর। এতে সড়কে ফিটনেসবিহীন গাড়ি চলাচল কমবে বলে আপনি কি মনে করেন?,0,4,95,1
15 April 2023,টঙ্গীতে ঢাকা-ময়মনসিংহ মহাসড়কে চলমান বাস র‍্যাপিড ট্রানজিট (বিআরটি) প্রকল্পের একটি ক্রেন উল্টে শনিবার শিশুসহ তিনজন আহত হয়েছেন। এর আগে গত বছর উত্তরায় একটি প্রাইভেট কারের ওপর গার্ডার ধসে পাঁচজন নিহত হন। এসব ঘটনায় নিরাপত্তা নিশ্চিত করার বিষয়ে সংশ্লিষ্ট কর্তৃপক্ষের অবহেলা রয়েছে বলে মনে করেন কি?,0,99,1,0
13 April 2023,"আগামী ৫ থেকে ১০ বছরের জন্য বিনা প্রশ্নে ফ্ল্যাট, প্লট কিনে কালোটাকা সাদা করার সুযোগ বহাল রাখার দাবি জানিয়েছে ব্যবসায়ীদের শীর্ষ সংগঠন এফবিসিসিআই। আপনি কি তা সমর্থন করেন?",0,11,88,1
12 April 2023,নির্বাচনের খবর সংগ্রহে সাংবাদিকদের মোটরসাইকেল ব্যবহারের অনুমতি দেবে না নির্বাচন কমিশন। আপনি কি তা সমর্থন করেন?,0,7,92,1
11 April 2023,জাতীয় নির্বাচনের আগে দলগুলোর নিবন্ধনের শর্ত যাচাই করতে গেলে বিতর্ক তৈরি হতে পারে—এ আশঙ্কায় শর্ত যাচাইয়ের সিদ্ধান্ত থেকে নির্বাচন কমিশনের সরে আসা যৌক্তিক বলে মনে করেন কি?,0,12,85,3
10 April 2023,এবার ঈদযাত্রায় অনিয়ম হলে ব্যবস্থা নেবে জাতীয় ভোক্তা অধিকার সংরক্ষণ অধিদপ্তর। এতে যাত্রী হয়রানি বন্ধ হবে বলে আপনি কি মনে করেন?,0,6,93,1
9 April 2023,"১০ বছর পর ঘটা করে জনশুমারি নয়, প্রতিবছর জনসংখ্যার হালনাগাদ তথ্য প্রকাশ করতে বিবিএসকে নির্দেশ দিয়েছেন সরকারের দুই মন্ত্রী। আপনি কি তা সমর্থন করেন?",0,91,7,2
8 April 2023,ঈদযাত্রায় ট্রেনের অগ্রিম টিকিট বিক্রির প্রথম দিনে ৩ থেকে ৫ মিনিটের মধ্যে উত্তরবঙ্গের টিকিট শেষ হয়ে যায়—এটা স্বাভাবিক বলে মনে করেন কি?,0,15,84,1
7 April 2023,খেলোয়াড়দের মানসিকতার উন্নতির কারণেই সাফল্য পাচ্ছে বাংলাদেশ দল—সাকিব আল হাসানের এই বক্তব্যের সঙ্গে আপনি কি একমত?,0,88,9,3
