 ,Poll,Total voter,Yes(percent),No(percent),No comment(percent)
16 August 2023,ইন্টারনেটে দেখে নিজেরাই অসুখ নির্ণয়ের চেষ্টা বা ওষুধ খাওয়ার প্রবণতা দেশের চিকিৎসাব্যবস্থার দুর্বলতার উদাহরণ—জনস্বাস্থ্য বিশেষজ্ঞ মুশতাক হোসেনের এই বক্তব্যের সঙ্গে আপনি কি একমত?,6398,95,4,1
15 August 2023,চট্টগ্রাম থেকে শুরু করে রাজধানীর ভবনগুলোকে ভূমিকম্প-সহনশীলভাবে তৈরি করার পরামর্শ দিয়েছেন ভূমিকম্পবিশেষজ্ঞ সৈয়দ হুমায়ুন আখতার। তাঁর এই পরামর্শ মেনে চলা হবে বলে আপনি কি মনে করেন?,4339,5,94,1
14 August 2023,আগামী জাতীয় সংসদ নির্বাচনে সব ভোটকক্ষে সিসি (ক্লোজড সার্কিট) ক্যামেরা স্থাপনের পরিকল্পনা থেকে সরে আসছে নির্বাচন কমিশন। আপনি কি তা সমর্থন করেন?,5970,9,89,2
13 August 2023,ডিমের দাম নিয়ন্ত্রণে না এলে বিদেশ থেকে আমদানির উদ্যোগ নেওয়ার কথা বলেছেন বাণিজ্যমন্ত্রী টিপু মুনশি। আমদানি করলে ডিমের বাজার স্থিতিশীল হবে বলে আপনি কি মনে করেন?,7459,76,23,1
12 August 2023,"পররাষ্ট্রমন্ত্রী এ কে আব্দুল মোমেন বলেছেন, ভৌগোলিক অবস্থানের কারণে বাংলাদেশ বিদেশিদের কাছে অধিক গুরুত্ব পাচ্ছে—আপনিও কি তা–ই মনে করেন?",6508,73,25,2
11 August 2023,সাকিব আল হাসানকে বাংলাদেশ ওয়ানডে দলের অধিনায়ক করা ঠিক হয়েছে বলে কি আপনি মনে করেন?,11037,76,22,2
10 August 2023,"নির্বাচনের কারণে ডেঙ্গু ইস্যুটি পেছনে পড়ে গেছে, তাতে দুর্যোগের ঝুঁকি বেড়েছে—স্বাস্থ্য অধিদপ্তরের রোগনিয়ন্ত্রণ শাখার সাবেক পরিচালক সানিয়া তাহমিনার এই বক্তব্যের সঙ্গে আপনি কি একমত?",5465,92,7,1
9 August 2023,রাজনৈতিক বিভাজনের কারণে সরকারি কর্মকর্তাদের পদোন্নতির জন্য মন্ত্রী–সংসদ সদস্যদের তদবির বেড়েছে—সাবেক সচিব এ কে এম আবদুল আউয়াল মজুমদারের এই বক্তব্যের সঙ্গে আপনি কি একমত?,5664,96,3,1
8 August 2023,সাংবাদিক দম্পতি সাগর-রুনি হত্যা মামলার তদন্ত প্রতিবেদন ১০০ বারেও আদালতে জমা দিতে পারেনি তদন্তকারী সংস্থা। শিগগির এই হত্যারহস্য উদ্‌ঘাটন হবে বলে কি মনে করেন?,8199,2,97,1
7 August 2023,"ডিজিটাল নিরাপত্তা আইন বাতিলের সিদ্ধান্ত হওয়ায় এ আইনের মামলায় যাঁরা কারাগারে আছেন, তাঁদের আটকে রাখার নৈতিক কারণ দেখেন না সম্পাদক পরিষদের সভাপতি মাহ্‌ফুজ আনাম। আপনি কি তাঁর সঙ্গে একমত?",9140,94,5,1
6 August 2023,"সরকার পুরোনো যানবাহন উঠিয়ে দেওয়ার সিদ্ধান্ত থেকে সরে আসায় ঢাকা বিশ্ববিদ্যালয়ের অধ্যাপক আবদুস সালাম বলেছেন, সিদ্ধান্ত নেওয়ার ক্ষেত্রে মানুষের কথা ভাবা হয় না। আপনি কি তাঁর সঙ্গে একমত?",8672,98,2,0
5 August 2023,সাইবার হামলা ঠেকাতে দেশের সরকারি–বেসরকারি প্রতিষ্ঠানগুলোর সক্ষমতা যথেষ্ট বলে মনে করেন কি?,7272,3,96,1
4 August 2023,ইভ্যালিসহ ই–কমার্স প্রতিষ্ঠানগুলোর কাছ থেকে গ্রাহকদের পাওনা ফেরত নিশ্চিত করা সম্ভব হবে বলে মনে করেন কি?,6565,4,95,1
3 August 2023,ওয়ানডে ক্রিকেটের অধিনায়কত্ব ছেড়ে দিলেন তামিম ইকবাল। তাঁর এই সিদ্ধান্ত কি আপনি সমর্থন করেন?,7519,90,8,2
2 August 2023,দেশে প্রশিক্ষণসংক্রান্ত সরকারি প্রকল্প এখন শুভংকরের ফাঁকি। এতে সাধারণ মানুষের উপকার হয় না—টিআইবির নির্বাহী পরিচালক ইফতেখারুজ্জামানের এই বক্তব্যের সঙ্গে আপনি কি একমত?,7370,96,3,1
1 August 2023,"রাজপথ নয়, সংলাপেই রাজনৈতিক সংকটের সমাধান বলে মনে করেন প্রধান নির্বাচন কমিশনার কাজী হাবিবুল আউয়াল। আপনি কি তাঁর সঙ্গে একমত?",8423,70,27,3
31 July 2023,মাধ্যমিক শিক্ষা জাতীয়করণের দাবিতে ২১ দিন ঢাকায় অবস্থানের পর আমরণ অনশনে যাচ্ছেন শিক্ষকেরা। আপনি কি তাদের এই দাবি সমর্থন করেন?,32394,90,9,1
30 July 2023,দেশে ডেঙ্গু পরিস্থিতি মোকাবিলায় সরকারের প্রয়োজনীয় সব ধরনের প্রস্তুতি আছে—স্বাস্থ্যমন্ত্রী জাহিদ মালেকের এই বক্তব্য কি আপনি সমর্থন করেন?,13579,4,95,1
28 July 2023,"এবার পূর্ণ নম্বরে সব বিষয়ের পরীক্ষা হয়েছে, তাই গতবারের চেয়ে এবার পাসের হার কিছুটা কমা স্বাভাবিক। শিক্ষামন্ত্রী দীপু মনির এই বক্তব্যের সঙ্গে কি আপনি একমত?",12456,65,31,4
28 July 2023,সাংবাদিকদের কারণে বিদেশি রাষ্ট্রদূতেরা দেশের অভ্যন্তরীণ নানা বিষয়ে ‘মাতব্বরি’ করেন—পররাষ্ট্রমন্ত্রী এ কে আব্দুল মোমেনের এই বক্তব্য যৌক্তিক বলে কি আপনি মনে করেন?,12291,20,79,1
26 July 2023,"চট্টগ্রাম ওয়াসার পয়োনিষ্কাশনব্যবস্থার প্রথম প্রকল্পই ধুঁকছে, তারপরও আরও পাঁচটি প্রকল্প নেওয়া যৌক্তিক বলে মনে করেন কি?",7392,5,94,1
25 July 2023,ঢাকায় লক্কড়ঝক্কড় বাস বন্ধে সরকারের উদ্যোগ যথেষ্ট আছে বলে আপনি কি মনে করেন?,8581,2,97,1
24 July 2023,মশা নিধনে এবার প্রায় ১২২ কোটি টাকা বরাদ্দ রেখেছে ঢাকা উত্তর সিটি করপোরেশন—এতে কাজ হবে বলে আপনি কি মনে করেন?,8710,4,95,1
23 July 2023,ভোটার আনা নির্বাচন কমিশনের দায়িত্ব নয়। উপনির্বাচনে কম ভোটার উপস্থিতি নিয়ে নির্বাচন কমিশনার মো. আনিছুর রহমানের এই বক্তব্যে আপনি কি সন্তুষ্ট?,8199,10,89,1
22 July 2023,ব্যক্তিগত তথ্য ফাঁসের জন্য দায়ী ব্যক্তিদের বিরুদ্ধে যথাযথ ব্যবস্থা নেওয়া হবে বলে মনে করেন কি?,6921,3,96,1
21 July 2023,নাগরিকদের তথ্য ফাঁস ঠেকাতে এখন দেশের সব সরকারি ওয়েবসাইটের নিরাপত্তাব্যবস্থা পর্যালোচনা করা উচিত—তথ্যপ্রযুক্তিবিষয়ক আইনের শিক্ষক মুহাম্মদ এরশাদুল করিমের এ বক্তব্যের সঙ্গে আপনি কি একমত?,5322,97,2,1
20 July 2023,"ডেঙ্গু নিয়ন্ত্রণে ঢাকার দুই সিটি করপোরেশন যে তৎপরতা চালাচ্ছে, তা যথেষ্ট বলে কি আপনি মনে করেন?",5520,2,97,1
19 July 2023,জাতীয় নির্বাচনের কারণে শিক্ষাবর্ষের কার্যক্রম নভেম্বরের মধ্যে শেষ করতে শিক্ষাপ্রতিষ্ঠানে গ্রীষ্মকালীন ছুটি বাতিল করেছে সরকার। আপনি কি তা সমর্থন করেন?,5987,33,66,1
18 July 2023,ঢাকা–১৭ আসনের উপনির্বাচনের স্বতন্ত্র প্রার্থী আশরাফুল হোসেন ওরফে হিরো আলমের ওপর হামলায় জড়িত ব্যক্তিদের বিচার হবে বলে কি আপনি মনে করেন?,10165,6,93,1
17 July 2023,জাতীয় নির্বাচনের মাত্র কয়েক মাস আগে ঢাকা-১৭ আসনের উপনির্বাচন হওয়ায় এখানে ভোটার উপস্থিতি কম বলে মনে করছেন আওয়ামী লীগের প্রার্থী মোহাম্মদ আলী আরাফাত। আপনি কি তা মনে করেন?,9924,10,89,1
16 July 2023,অচেনা দুটি দলকে নিবন্ধন দেওয়ার সিদ্ধান্তে নির্বাচন কমিশনের প্রতি জনগণের আস্থা কমবে—সুজন সম্পাদক বদিউল আলম মজুমদারের এ বক্তব্যের সঙ্গে আপনি কি একমত?,9608,92,7,1
15 July 2023,গরিব তাড়িয়ে বড়লোকদের আরও বড়লোক বানিয়েছে রাজউক—পরিকল্পনামন্ত্রীর এ বক্তব্যের সঙ্গে আপনি কি একমত?,11696,98,1,1
14 July 2023,কর্ণফুলী টানেল পার হতে গাড়িভেদে সর্বনিম্ন ২০০ টাকা টোল যৌক্তিক বলে মনে করেন কি?,10722,46,51,3
13 July 2023,ডেঙ্গুকে বড় আকারের সমস্যা হিসেবে দেখা হচ্ছে না বলে এটা নিয়ন্ত্রণে আসছে না—স্বাস্থ্য অধিদপ্তরের রোগনিয়ন্ত্রণ শাখার সাবেক পরিচালক অধ্যাপক বে-নজীর আহমেদের এ বক্তব্যের সঙ্গে আপনি কি একমত?,3744,97,2,1
12 July 2023,"কাঁচা মরিচের অস্বাভাবিক দাম নিয়ে সমালোচনার মধ্যে বাণিজ্যমন্ত্রী টিপু মুনশি বলেছেন, ‘ঝড়-বৃষ্টিতে যদি কাঁচা মরিচ পচে যায়, তাহলে আমি কী করব?’ তাঁর এই বক্তব্য কি যৌক্তিক বলে আপনি মনে করেন?",8535,7,91,2
11 July 2023,ভারতের সঙ্গে দ্বিপক্ষীয় বাণিজ্যে ডলারের পাশাপাশি রুপিতেও লেনদেন চালু হয়েছে—এটা ফলপ্রসূ হবে বলে আপনি কি মনে করেন?,7195,34,62,4
10 July 2023,"বিদেশিরা যদি নির্বাচন পর্যবেক্ষণে না-ও আসেন, সেটি দেশের ক্ষতির কারণ হবে না –পররাষ্ট্রমন্ত্রী এ কে আব্দুল মোমেনের এই বক্তব্যের সঙ্গে আপনি কি একমত?",9056,13,86,1
9 July 2023,"ওয়েবসাইটের দুর্বলতার কারণে নাগরিকদের তথ্য ফাঁস হয়েছে, এখানে দায় এড়ানোর সুযোগ নেই—তথ্য ও যোগাযোগ প্রযুক্তি প্রতিমন্ত্রী জুনাইদ আহমেদের এই বক্তব্যে আপনি কি সন্তুষ্ট?",7488,69,30,1
8 July 2023,সিটি করপোরেশন ও সংশ্লিষ্ট সংস্থাগুলোর সমন্বয়হীনতা ও পূর্বপ্রস্তুতির ঘাটতির কারণে ডেঙ্গু পরিস্থিতি মারাত্মক রূপ নিয়েছে—টিআইবির এই বক্তব্যের সঙ্গে আপনি কি একমত?,6911,97,2,1
7 July 2023,"ঈদুল আজহার ছুটির পর স্কুল–কলেজ খোলার আগে খেলার মাঠ, ভবন পরিষ্কারসহ ডেঙ্গুর জীবাণুবাহী এডিস মশার প্রজননস্থল ধ্বংস করতে বলেছে মাধ্যমিক ও উচ্চশিক্ষা অধিদপ্তর। শিক্ষাপ্রতিষ্ঠানগুলো তা করবে বলে আপনি কি মনে করেন?",3874,7,92,1
6 July 2023,আন্তর্জাতিক ক্রিকেট থেকে তামিম ইকবালের অবসরের ঘোষণা ঠিক হয়েছে বলে আপনি কি মনে করেন?,8613,34,64,2
5 July 2023,"ডেঙ্গু নিয়ন্ত্রণে শুধু সিটি করপোরেশন নয়, সরকারকেই মূল উদ্যোগ নিতে হবে—আইইডিসিআরের উপদেষ্টা মুশতাক হোসেনের এ বক্তব্যের সঙ্গে আপনি কি একমত?",5461,95,4,1
4 July 2023,এ দেশে এখনো যেকোনো উৎসব ও ছুটি পুরুষের জন্য উপভোগ্য হলেও নারীর জন্য কাজের বোঝা—বাংলাদেশ মহিলা পরিষদের সভাপতি ফওজিয়া মোসলেমের এই বক্তব্যের সঙ্গে আপনি কি একমত?,8082,38,61,1
3 July 2023,নির্বাচন এখন নির্বাচন কমিশনের হাত থেকে আইনশৃঙ্খলা রক্ষাকারী বাহিনীর নিয়ন্ত্রণে চলে গেছে।—সুশাসনের জন্য নাগরিক (সুজন) সম্পাদক বদিউল আলম মজুমদারের এই বক্তব্যের সঙ্গে কি আপনি একমত?,8590,92,7,1
2 July 2023,ব্যয় সংকোচনে সরকারি দপ্তরে নতুন সব ধরনের যানবাহন কেনাকাটা বন্ধ করেছে সরকার। আপনি কি তা সমর্থন করেন?,7944,95,4,1
1 July 2023,কাঁচা মরিচের দাম নিয়ন্ত্রণে সরকার কার্যকর পদক্ষেপ গ্রহণ করবে বলে মনে করেন কি?,7207,14,84,2
27 June 2023,দেশে কর্মস্থলে নির্মাণশ্রমিকদের মৃত্যু ঠেকাতে বিশেষ উদ্যোগ নেওয়া হবে বলে মনে করেন কি?,7882,6,93,1
26 June 2023,ঢাকায় ডেঙ্গুর জীবাণুবাহী এডিস মশা নিয়ন্ত্রণে এখনই বিশেষ পদক্ষেপ নেওয়া উচিত বলে আপনি মনে করেন কি?,6026,96,3,1
25 June 2023,অস্বাভাবিক মূল্যবৃদ্ধির প্রেক্ষাপটে সরকার ভারত থেকে কাঁচা মরিচ আমদানির অনুমতি দিয়েছে। এতে মরিচের দাম কমবে বলে কি আপনি মনে করেন?,7467,82,16,2
24 June 2023,দেশে অবৈধ মুঠোফোন বন্ধে কার্যকর উদ্যোগ নেওয়া হবে বলে মনে করেন কি?,5420,6,92,2
23 June 2023,টিসিবির পণ্য বিক্রিতে অসংগতি দূর করতে এক কোটি উপকারভোগীকে স্মার্ট কার্ড দিচ্ছে সরকার। এতে সুফল পাওয়া যাবে বলে আপনি মনে করেন কি?,6317,16,82,2
22 June 2023,ঢাকায় অবকাঠামো তৈরিতে বিনিয়োগ করা হলেও এই শহরকে বাসযোগ্য করায় গুরুত্ব দেওয়া হয়নি—নগর পরিকল্পনাবিদ আদিল মুহাম্মদ খানের এই বক্তব্যের সঙ্গে আপনি কি একমত?,4293,98,2,0
21 June 2023,দুর্ঘটনার জন্য মোটরসাইকেল বন্ধ না করে এ বিষয়ে নজরদারি বাড়ানোর দাবি জানিয়েছেন সংশ্লিষ্ট ব্যক্তিরা। আপনি কি তাঁদের সঙ্গে একমত?,5999,87,12,1
20 June 2023,আগামী জুন মাসের মধ্যে ঋণের কিস্তির অর্ধেক টাকা জমা দিলেই একজন গ্রাহককে খেলাপি হিসেবে চিহ্নিত করা যাবে না—বাংলাদেশ ব্যাংকের এই সিদ্ধান্ত যৌক্তিক বলে কি আপনি মনে করেন?,5129,11,88,1
19 June 2023,ঢাকা উত্তর সিটি করপোরেশনের ৮টি কোরবানির পশুর হাটে ডিজিটাল পদ্ধতিতে লেনদেনের ব্যবস্থা করা হয়েছে। অন্যান্য জায়গায়ও এটা করা উচিত বলে কি আপনি মনে করেন?,3152,90,8,2
18 June 2023,"ইবাদত, তাসকিনদের হাত ধরে বাংলাদেশের পেস বোলিংয়ের দুর্বলতা কাটছে বলে কি আপনি মনে করেন?",4717,85,12,3
17 June 2023,ডেঙ্গু জ্বরের জন্য দায়ী এডিস মশা নিধনে ঢাকার দুই সিটি করপোরেশনের উদ্যোগ যথেষ্ট বলে মনে করেন কি?,5101,2,97,1
16 June 2023,দেশে সব কিছু মিলিয়ে একটি ভয়ের সংস্কৃতি তৈরি হয়েছে —অধ্যাপক সিরাজুল ইসলাম চৌধুরীর এই বক্তব্যের সঙ্গে আপনি কি একমত?,6574,95,4,1
15 June 2023,দেশে এখন ডিজিটাল ব্যাংক করার প্রয়োজন আছে বলে আপনি মনে করেন কি?,6361,54,44,2
14 June 2023,বাজার ব্যবস্থাপনার ক্ষেত্রে চরম দুর্বলতার কারণে জিনিসপত্রের দাম একেবারেই লাগামছাড়া—বাংলাদেশের ওয়ার্কার্স পার্টির সভাপতি রাশেদ খান মেননের এই বক্তব্যের সঙ্গে আপনি কি একমত?,5197,97,2,1
13 June 2023,পবিত্র ঈদুল আজহার ছুটি এক দিন বাড়িয়ে চার দিন করার সুপারিশ করেছে আইন–শৃঙ্খলাবিষয়ক মন্ত্রিসভা কমিটি। আপনি কি তা সমর্থন করেন?,8237,85,14,1
12 June 2023,বেসিক ব্যাংকে ঋণ অনিয়মের প্রায় এক দশক পর ব্যাংকটির সাবেক চেয়ারম্যান শেখ আবদুল হাই বাচ্চুসহ ১৪৭ জনকে আসামি করে অভিযোগপত্র অনুমোদন দিয়েছে দুদক। এ ঘটনায় দায়ী ব্যক্তিদের শাস্তি হবে বলে আপনি মনে করেন কি?,6201,5,94,1
11 June 2023,"নির্বাচন কমিশনার মো. আহসান হাবিব খান বলেছেন, বরিশাল ও খুলনা সিটি করপোরেশনের নির্বাচন গাজীপুরের নির্বাচনের চেয়ে ভালো হবে। আপনি কি তা মনে করেন?",6090,11,87,2
10 June 2023,সিলেট সিটি করপোরেশন নির্বাচনকে কেন্দ্র করে অস্ত্রের মহড়া দেওয়া ব্যক্তিদের শাস্তি নিশ্চিত করা সম্ভব হবে বলে মনে করেন কি?,7836,5,94,1
9 June 2023,সড়ক দুর্ঘটনার প্রায় অর্ধেক মামলায় চালক শনাক্ত না হওয়ার জন্য তদন্তে ঘাটতির কথা বলেছেন পুলিশের সাবেক অতিরিক্ত মহাপরিদর্শক মোখলেসুর রহমান। আপনি কি তা মনে করেন?,6438,91,8,1
8 June 2023,"জাতীয় নির্বাচন সামনে রেখে সরকারের কোনো সংস্থা যেন কারও বিরুদ্ধে হয়রানিমূলক মামলা না করে, তা নিশ্চিতে সরকারকে প্রস্তাব দেবে নির্বাচন কমিশন। আপনি কি তা সমর্থন করেন?",5047,92,5,3
7 June 2023,গরমের কারণে স্কুল ছুটির বিষয়ে তিন দফায় সিদ্ধান্ত দেওয়া হয়েছে—এখানে সমন্বয়হীনতা রয়েছে বলে আপনি কি মনে করেন?,5878,96,3,1
6 June 2023,সবাইকে ধৈর্য ধরার আহ্বান জানিয়ে সপ্তাহ দুয়েকের মধ্যে বিদ্যুৎ পরিস্থিতি স্বাভাবিক করার আশ্বাস দিয়েছেন প্রতিমন্ত্রী নসরুল হামিদ। এ সময়ে বিদ্যুৎ–সংকট কাটবে বলে আপনি কি মনে করেন?,10415,12,83,5
5 June 2023,নতুন আইনে বিদেশে ঘুরতে গেলেই এনবিআরে সম্পদের বিবরণী জমা দেওয়া বাধ্যতামূলক করা হচ্ছে—আপনি কি তা সমর্থন করেন?,28913,12,69,19
4 June 2023,"গরমে শিশুরা অসুস্থ হয়ে যেতে পারে, তাই সব স্কুল কিছুদিন বন্ধ রাখলে ভালো হয়—শিশুরোগবিশেষজ্ঞ মোহাম্মদ সহিদুল্লার এ বক্তব্যের সঙ্গে আপনি কি একমত?",12589,97,3,0
3 June 2023,বাজেটে কলমের দাম বাড়ানোর প্রস্তাব পুনর্বিবেচনা করা হবে বলে আশা করছেন শিক্ষামন্ত্রী দীপু মনি। আপনি কি তা মনে করেন?,6465,19,79,2
2 June 2023,ব্যক্তিশ্রেণির করদাতাদের করমুক্ত আয়সীমা সাড়ে তিন লাখ টাকা করা যৌক্তিক বলে মনে করেন কি?,5670,85,13,2
1 June 2023,বাজেটে দেশে উৎপাদিত মুঠোফোনের ওপর মূল্য সংযোজন কর (ভ্যাট) বাড়ানোর প্রস্তাব করা হয়েছে—আপনি কি তা সমর্থন করেন?,6180,13,86,1
31 May 2023,"প্রশাসনে তেজ বেড়েছে, তবে গভীরতা কমেছে—পরিকল্পনামন্ত্রী এম এ মান্নানের এই বক্তব্যের সঙ্গে আপনি কি একমত?",4986,93,4,3
30 May 2023,"পবিত্র ঈদুল আজহায় ট্রেনের অগ্রিম টিকিট শতভাগ অনলাইনে বিক্রি করার সিদ্ধান্ত নিয়েছে রেল কর্তৃপক্ষ, আপনি কি তা সমর্থন করেন?",7494,83,16,1
29 May 2023,নতুন সরকারি বিশ্ববিদ্যালয় স্থাপনে আইন পাসের পরপরই ভাড়া করা বাড়ি বা যেখানে-সেখানে শিক্ষা কার্যক্রম চালুর সুযোগ বন্ধের উদ্যোগ নিয়েছে ইউজিসি—আপনি কি তা সমর্থন করেন?,5950,95,4,1
28 May 2023,সুশাসনের অভাবে বেসরকারি ব্যাংকে খেলাপি ঋণ বাড়ছে—অ্যাসোসিয়েশন অব ব্যাংকার্স বাংলাদেশের সাবেক চেয়ারম্যান আনিস এ খানের এ বক্তব্যের সঙ্গে আপনি একমত?,6290,97,2,1
27 May 2023,জাতীয় পরিচয়পত্র থাকলেই আয়কর রিটার্ন দাখিলের পক্ষে পররাষ্ট্রমন্ত্রী এ কে আব্দুল মোমেন—তাঁর এই অবস্থানের সঙ্গে আপনি কি একমত?,12223,6,93,1
26 May 2023,"ভোটকেন্দ্র কোথায় কোথায় হবে, তা নির্ধারণে নির্বাচন কমিশনের সঙ্গে প্রশাসন ও পুলিশ কর্মকর্তাদের যুক্ত করার উদ্যোগ নেওয়া হয়েছে। আপনি কি তা সমর্থন করেন?",6241,12,86,2
25 May 2023,"পেঁয়াজের মূল্যবৃদ্ধির পেছনে ‘সিন্ডিকেট’ আছে কি না, তা খতিয়ে দেখার কথা বলেছেন পরিকল্পনামন্ত্রী এম এ মান্নান। আসলেই তা করা হবে বলে আপনি কি মনে করেন?",7227,4,96,0
24 May 2023,কর দিতে হয় না বলে সম্পদশালীরা প্লট কিনছেন। তাতে ঢাকার পূর্বাচল হয়ে উঠছে কর ফাঁকির অভয়ারণ্য—পিআরআইয়ের নির্বাহী পরিচালক আহসান এইচ মনসুরের এই বক্তব্যের সঙ্গে আপনি কি একমত?,5246,97,2,1
23 May 2023,করযোগ্য আয় না থাকলেও ন্যূনতম কর দেওয়া বাধ্যতামূলক করা সংগত হবে বলে আপনি কি মনে করেন?,9370,6,93,1
22 May 2023,শহরের শিক্ষক-অভিভাবকেরা ভালো ফলের জন্য চাপ দিয়ে শিক্ষার্থীদের জীবন বিপন্ন করে দিচ্ছেন—শিক্ষা উপমন্ত্রী মহিবুল হাসান চৌধুরীর এ বক্তব্যের সঙ্গে আপনি কি একমত?,7875,92,7,1
21 May 2023,"ভোট হবে কিন্তু ভোটার কেন্দ্রে যাবেন না, এটা যেন রীতি হয়ে গেছে—স্থানীয় সরকার বিশেষজ্ঞ তোফায়েল আহমেদের এই বক্তব্যের সঙ্গে আপনি কি একমত?",9626,95,4,1
20 May 2023,দেশে বজ্রপাতে প্রাণহানি কমাতে দ্রুত কার্যকর পদক্ষেপ গ্রহণের উদ্যোগ নেওয়া হবে বলে মনে করেন কি?,6286,5,94,1
19 May 2023,"ওয়ানডে বিশ্বকাপের এখনো চার মাস বাকি। তাই দলে কে থাকবে না থাকবে, তা নিয়ে এখনই আলোচনার পক্ষে নন প্রধান নির্বাচক মিনহাজুল আবেদীন। আপনি কি তাঁর সঙ্গে একমত?",6633,26,71,3
18 May 2023,"নির্বাচনে আইনের পরিপন্থী কাজ করলে, তিনি যে ব্যক্তিই হোন, তাঁকে আইনের আওতায় আনতে যথাযথ পদক্ষেপ নেওয়া হবে—ইসি সচিব মো. জাহাংগীর আলমের এই কথায় আপনি কি আস্থা রাখেন?",3740,4,95,1
17 May 2023,দুই চুলায় মাসিক গ্যাসের বিল ৫১২ টাকা এবং এক চুলায় ৩৯০ টাকা বাড়াতে নিয়ন্ত্রক সংস্থা বিইআরসিতে প্রস্তাব দিয়েছে তিতাস গ্যাস। আপনি কি তা সমর্থন করেন?,7664,9,90,1
